Month,U.S. Crude Oil,Alabama,Alaska,Arkansas,Arizona,California,Colorado,Federal Offshore Gulf of Mexico Crude Oil,Federal Offshore Pacific Crude Oil
2008-06-01,,21,655,17,0,583,82,1326,67
2008-07-01,,21,640,17,0,586,81,1372,61
2008-08-01,,21,544,17,0,588,82,1272,70
2008-09-01,,21,681,16,0,587,88,242,67
2008-10-01,,21,716,17,0,586,86,803,66
2008-11-01,,22,728,17,0,586,87,1090,66
2008-12-01,,22,702,17,0,579,83,1197,68
2009-01-01,,21,679,16,0,579,85,1281,67
2009-02-01,,21,708,16,0,575,87,1323,65
2009-03-01,,20,709,16,0,577,86,1355,40
2009-04-01,,20,653,16,0,573,81,1465,63
2009-05-01,,20,678,16,0,573,82,1553,61
2009-06-01,,19,571,16,0,572,83,1561,65
2009-07-01,,19,551,16,0,566,81,1735,64
2009-08-01,,19,572,16,0,565,82,1734,63
2009-09-01,,19,652,16,0,565,83,1752,61
2009-10-01,,19,659,15,0,560,81,1725,63
2009-11-01,,20,662,15,0,559,85,1563,62
2009-12-01,,19,655,15,0,551,82,1680,60
2010-01-01,,18,640,15,0,549,86,1655,61
2010-02-01,,18,635,16,0,549,88,1711,60
2010-03-01,,19,646,16,0,554,88,1600,64
2010-04-01,,18,640,16,0,554,88,1481,62
2010-05-01,,19,571,16,0,554,89,1536,61
2010-06-01,,19,534,16,0,551,86,1543,61
2010-07-01,,20,545,15,0,550,83,1434,59
2010-08-01,,20,538,15,0,552,93,1555,56
2010-09-01,,21,614,16,0,553,96,1587,58
2010-10-01,,20,618,16,0,539,95,1565,57
2010-11-01,,21,606,16,0,547,97,1482,56
2010-12-01,,21,612,16,0,536,97,1491,58
2011-01-01,,21,464,16,0,535,93,1562,53
2011-02-01,,21,611,16,0,540,98,1411,53
2011-03-01,,21,611,16,0,538,104,1389,55
2011-04-01,,22,606,16,0,540,107,1346,57
2011-05-01,,23,582,16,0,543,106,1373,55
2011-06-01,,23,553,16,0,541,107,1325,57
2011-07-01,,23,453,16,0,535,106,1211,56
2011-08-01,,24,526,16,0,535,111,1272,54
2011-09-01,,23,585,17,0,532,113,1090,56
2011-10-01,,24,566,16,0,534,115,1291,55
2011-11-01,,25,593,17,0,538,118,1278,50
2011-12-01,,25,592,17,0,538,117,1257,51
2012-01-01,,25,593,17,0,537,120,1307,52
2012-02-01,,25,582,18,0,538,122,1326,51
2012-03-01,,25,567,18,0,534,127,1375,26
2012-04-01,,25,552,18,0,541,123,1266,39
2012-05-01,,24,546,18,0,539,132,1195,51
2012-06-01,,25,493,18,0,541,126,1114,52
2012-07-01,,25,415,17,0,541,130,1252,53
2012-08-01,,27,404,17,0,541,132,1098,50
2012-09-01,,28,502,18,0,537,139,1178,54
2012-10-01,,27,547,18,0,543,154,1327,52
2012-11-01,,28,553,19,0,539,160,1373,55
2012-12-01,,28,556,18,0,534,161,1378,45
2013-01-01,,29,549,18,0,534,157,1332,50
2013-02-01,,29,541,19,0,536,162,1315,52
2013-03-01,,29,533,18,0,545,164,1255,50
2013-04-01,,28,523,18,0,548,168,1336,52
2013-05-01,,28,515,18,0,548,166,1201,48
2013-06-01,,28,486,18,0,545,169,1122,50
2013-07-01,,28,493,18,0,545,179,1238,55
2013-08-01,,29,428,18,0,548,188,1185,50
2013-09-01,,28,511,18,0,547,189,1319,51
2013-10-01,,29,521,18,0,546,209,1177,49
2013-11-01,,29,536,18,0,552,215,1303,51
2013-12-01,,28,546,19,0,546,209,1285,52
2014-01-01,,26,542,18,0,553,211,1304,52
2014-02-01,,28,515,18,0,552,215,1331,51
2014-03-01,,27,530,19,0,552,232,1322,42
2014-04-01,,26,537,18,0,559,238,1425,48
2014-05-01,,27,524,18,0,562,253,1413,52
2014-06-01,,27,485,19,0,558,263,1412,52
2014-07-01,,26,422,19,0,559,271,1428,53
2014-08-01,,25,398,19,0,567,281,1435,54
2014-09-01,,27,477,19,0,568,278,1422,51
2014-10-01,,27,500,19,0,568,291,1428,50
2014-11-01,,28,513,19,0,569,295,1389,51
2014-12-01,,29,515,19,0,562,311,1452,52
2015-01-01,,27,500,18,0,564,318,1452,53
2015-02-01,,29,488,18,0,562,327,1456,54
2015-03-01,,28,506,18,0,561,333,1380,45
2015-04-01,,26,510,17,0,560,338,1504,43
2015-05-01,,27,473,17,0,559,342,1404,46
2015-06-01,,27,447,17,0,549,337,1413,24
2015-07-01,,26,450,17,0,544,344,1567,19
2015-08-01,,26,408,17,0,547,347,1630,19
2015-09-01,,26,472,17,0,546,331,1661,19
2015-10-01,,26,497,17,0,543,345,1578,19
2015-11-01,,25,523,16,0,545,342,1524,19
2015-12-01,,25,522,16,0,539,332,1605,18
2016-01-01,,24,516,16,0,538,332,1593,18
2016-02-01,,23,507,16,0,530,327,1549,17
2016-03-01,,22,511,15,0,527,319,1612,17
2016-04-01,,22,489,16,0,517,316,1574,17
2016-05-01,,22,505,15,0,507,311,1593,18
2016-06-01,,22,470,15,0,484,309,1551,17
2016-07-01,,22,438,15,0,506,320,1568,16
2016-08-01,,22,459,15,0,507,323,1617,17
2016-09-01,,22,452,15,0,505,322,1508,16
2016-10-01,,22,495,15,0,501,320,1605,16
2016-11-01,,22,513,15,0,499,319,1682,16
2016-12-01,,21,519,15,0,480,302,1725,16
2017-01-01,,20,516,14,0,484,298,1739,16
2017-02-01,,20,513,15,0,495,298,1753,16
2017-03-01,,20,526,15,0,480,307,1775,16
