country,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0.253,0.262,0.245,0.247,0.254,0.261,0.261,0.279,0.284
Angola,1.64,1.22,1.18,1.15,1.12,1.15,1.12,1.2,1.23
Albania,2.25,2.04,2.01,2.13,2.08,2.05,2.0,2.12,2.1
Andorra,5.83,5.97,6.07,6.27,6.12,6.06,5.63,5.97,5.91
UAE,26.8,27.0,26.7,23.9,23.5,21.2,19.7,20.7,21.1
Argentina,4.3,4.6,4.27,4.31,3.95,3.72,3.52,3.77,3.85
Armenia,2.0,2.03,1.92,2.02,2.49,2.45,2.57,2.73,2.7
Antigua and Barbuda,5.71,5.84,5.9,5.89,5.88,5.86,5.44,5.82,5.94
Australia,16.2,16.0,15.3,15.3,14.6,14.2,13.7,13.7,13.9
Austria,11.1,10.3,10.6,10.4,10.3,10.0,9.07,9.29,9.2
