,longitude,latitude,neigh,room_type,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable
0,-82.55563,35.6067,B,Entire home/apt,2,1.0,1.0,120.0,30,90,4.5,False
1,-82.59578,35.57864,A,Entire home/apt,2,1.0,1.0,100.0,1,359,4.58,True
2,-82.59578,35.57864,A,Private room,2,1.0,1.0,66.0,1,67,4.52,True
5,-82.55276,35.61856,D,Entire home/apt,4,1.0,2.0,134.0,30,58,4.87,False
6,-82.50655,35.59635,E,Private room,2,1.0,1.0,68.0,7,57,4.66,False
7,-82.48114,35.61929,E,Entire home/apt,2,1.0,1.0,83.0,1,678,4.94,True
8,-82.52586,35.64453,D,Entire home/apt,4,2.0,2.0,289.0,30,24,4.9,False
9,-82.59997,35.58217,A,Entire home/apt,4,1.0,3.0,83.0,2,516,4.85,True
10,-82.48438,35.49111,C,Entire home/apt,2,1.0,1.0,159.0,2,47,4.98,True
11,-82.55912,35.5759,B,Private room,2,1.0,1.0,136.0,2,110,4.72,False
12,-82.56174,35.60182,B,Entire home/apt,2,1.0,1.0,140.0,2,343,4.91,True
13,-82.57784,35.56118,C,Entire home/apt,3,1.0,1.0,145.0,1,619,4.98,False
14,-82.55621,35.60371,B,Private room,2,,1.0,129.0,2,418,4.91,True
15,-82.54376,35.61115,B,Entire home/apt,2,1.0,1.0,75.0,30,134,4.76,False
16,-82.5539,35.60075,B,Entire home/apt,2,1.0,1.0,55.0,90,355,4.66,False
17,-82.54964,35.60418,B,Entire home/apt,2,1.0,2.0,161.0,30,113,4.83,True
18,-82.553017,35.621288,D,Entire home/apt,4,1.0,1.0,98.0,1,611,4.71,True
19,-82.50285,35.62272,E,Private room,2,1.0,1.0,55.0,2,232,4.63,False
20,-82.55741,35.58131,B,Private room,2,1.0,1.0,90.0,2,1089,4.67,False
21,-82.55705,35.57468,B,Private room,2,1.0,2.0,229.0,2,13,4.77,True
22,-82.58342,35.57805,A,Entire home/apt,5,2.0,4.0,95.0,1,100,4.87,False
23,-82.56161,35.58395,B,Entire home/apt,4,2.0,2.0,265.0,2,485,4.98,False
24,-82.51219,35.64271,D,Entire home/apt,6,3.0,4.0,198.0,2,122,4.72,False
25,-82.50657,35.58617,E,Private room,2,1.0,1.0,74.0,2,181,4.7,False
26,-82.59475,35.56893,A,Entire home/apt,2,,1.0,106.0,3,816,4.87,True
27,-82.5961,35.60321,A,Entire home/apt,4,2.0,2.0,127.0,2,22,4.82,True
28,-82.59092,35.57312,A,Private room,2,1.0,1.0,91.0,3,590,4.94,False
29,-82.57668,35.6117,B,Entire home/apt,6,3.0,3.0,257.0,3,150,4.66,False
30,-82.48361,35.55544,C,Entire home/apt,2,1.0,1.0,151.0,2,163,4.96,False
